language,lect,s_citation,m_citation,s_gloss,m_gloss,class,source,contributor,glottocode
Andi,Gagatli,башлухъи,,башлык,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,буртина,,бурка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лабагъи,,дубленая кожа,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,дарай,,шелк,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,джухъе,,черкеска,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,зарбай,,золото-тканная материя,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,зингал,,голенище,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,инлъир,,пазуха,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,калуши,,чувяки,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,нисей,,карман,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,кисейати,,кисет,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,куси,,колодка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къут1упи,,бархат,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къгаламч1ай,,ситец,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,к1ерехи,,чувяк,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лабцы,,латка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лакъгара,,шапка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лъол,,подошва,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,мачещи,,чарык,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,нассил,,обувь,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,насугъи,,кожаная обувь,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,падан,,носок,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,падан,,чулок,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,песи,,фес,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ролал,,одежда,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,сак1ула,,шуба,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ссакур,,союзка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ссуром,,сафьян,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,унчор,,тряпочная лента,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ххам,,материя,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ххам,,ткань,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,чакмагъи,,сапог,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,чарпасси,,нагрудное украшение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,чухт1у,,чохто,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,чухт1у,,женский головной убор,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,щатан,,вязанная шерстяная обувь,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,этекки,,галоша,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,аракъги,,водка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бекъам,,ком из толокна,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бахъухъи,,самодельная халва,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,берун,,рассол из творога и молока,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бета,,кислое молоко,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,биц1иб,,сырники,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бишин,,творог,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъан,,хлеб,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъуди,,вареное зерно,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гат1и,,тесто,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,дару,,лекарство,,4,Salimov 2010,Ksenia Romanova,andi1255
